election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0032,American A,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0032,American A,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0032,American A,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,38,tally,
2026 Primary Election,2026-05-05,0033,American B,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,26,choice,yes
2026 Primary Election,2026-05-05,0033,American B,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,26,tally,
2026 Primary Election,2026-05-05,0033,American B,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0033,American B,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0033,American B,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,27,tally,
2026 Primary Election,2026-05-05,0034,American C,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,28,choice,yes
2026 Primary Election,2026-05-05,0034,American C,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,28,tally,
2026 Primary Election,2026-05-05,0034,American C,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0034,American C,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0034,American C,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,29,tally,
2026 Primary Election,2026-05-05,0035,American D,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,44,choice,yes
2026 Primary Election,2026-05-05,0035,American D,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,44,tally,
2026 Primary Election,2026-05-05,0035,American D,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0035,American D,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0035,American D,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,47,tally,
2026 Primary Election,2026-05-05,0036,American E,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,36,choice,yes
2026 Primary Election,2026-05-05,0036,American E,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,36,tally,
2026 Primary Election,2026-05-05,0036,American E,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
